# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 0.5 $z_{cut}$ = 0.2 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.2_beta_0_alpha_0.5
ScaledBy=2.55102040816326554e-04
Title=quark-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.750000e+01	1.100788e+00	1.100788e+00
1.000000e-02	2.000000e-02	1.535714e+01	6.259104e-01	6.259104e-01
2.000000e-02	3.000000e-02	4.540816e+00	3.403486e-01	3.403486e-01
3.000000e-02	4.000000e-02	2.500000e+00	2.525381e-01	2.525381e-01
4.000000e-02	5.000000e-02	2.295918e+00	2.420111e-01	2.420111e-01
5.000000e-02	6.000000e-02	1.785714e+00	2.134337e-01	2.134337e-01
6.000000e-02	7.000000e-02	1.811224e+00	2.149528e-01	2.149528e-01
7.000000e-02	8.000000e-02	1.147959e+00	1.711276e-01	1.711276e-01
8.000000e-02	9.000000e-02	9.438776e-01	1.551725e-01	1.551725e-01
9.000000e-02	1.000000e-01	1.122449e+00	1.692155e-01	1.692155e-01
1.000000e-01	1.100000e-01	8.673469e-01	1.487488e-01	1.487488e-01
1.100000e-01	1.200000e-01	8.673469e-01	1.487488e-01	1.487488e-01
1.200000e-01	1.300000e-01	7.397959e-01	1.373766e-01	1.373766e-01
1.300000e-01	1.400000e-01	1.147959e+00	1.711276e-01	1.711276e-01
1.400000e-01	1.500000e-01	7.653061e-01	1.397252e-01	1.397252e-01
1.500000e-01	1.600000e-01	4.081633e-01	1.020408e-01	1.020408e-01
1.600000e-01	1.700000e-01	4.591837e-01	1.082306e-01	1.082306e-01
1.700000e-01	1.800000e-01	5.357143e-01	1.169024e-01	1.169024e-01
1.800000e-01	1.900000e-01	5.867347e-01	1.223426e-01	1.223426e-01
1.900000e-01	2.000000e-01	4.336735e-01	1.051813e-01	1.051813e-01
2.000000e-01	2.100000e-01	4.591837e-01	1.082306e-01	1.082306e-01
2.100000e-01	2.200000e-01	6.122449e-01	1.249740e-01	1.249740e-01
2.200000e-01	2.300000e-01	3.061224e-01	8.836994e-02	8.836994e-02
2.300000e-01	2.400000e-01	4.846939e-01	1.111964e-01	1.111964e-01
2.400000e-01	2.500000e-01	5.357143e-01	1.169024e-01	1.169024e-01
2.500000e-01	2.600000e-01	2.551020e-01	8.067035e-02	8.067035e-02
2.600000e-01	2.700000e-01	3.826531e-01	9.880060e-02	9.880060e-02
