# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
XLabel=$\theta_g$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
YLabel=$1/\sigma \text{d}\sigma/\text{d}\theta_g$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as012285-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as015015-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
RatioPlot=1
Title=$\theta_g$, $\alpha$ = 1 $z_{cut}$ = 0.05 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/gluon-as013650-truth.yoda/MC_LHJSS_Zjet/theta_g_zcut_0.05_beta_0_alpha_1
ScaledBy=6.97593303104290135e-05
Title=gluon-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.883153e-01	5.836484e-02	5.836484e-02
1.000000e-02	2.000000e-02	2.574119e+00	1.340033e-01	1.340033e-01
2.000000e-02	3.000000e-02	3.634461e+00	1.592286e-01	1.592286e-01
3.000000e-02	4.000000e-02	3.801884e+00	1.628548e-01	1.628548e-01
4.000000e-02	5.000000e-02	3.376352e+00	1.534705e-01	1.534705e-01
5.000000e-02	6.000000e-02	3.104290e+00	1.471575e-01	1.471575e-01
6.000000e-02	7.000000e-02	2.818277e+00	1.402145e-01	1.402145e-01
7.000000e-02	8.000000e-02	2.539240e+00	1.330923e-01	1.330923e-01
8.000000e-02	9.000000e-02	2.050924e+00	1.196123e-01	1.196123e-01
9.000000e-02	1.000000e-01	2.148587e+00	1.224271e-01	1.224271e-01
1.000000e-01	1.100000e-01	2.155563e+00	1.226257e-01	1.226257e-01
1.100000e-01	1.200000e-01	1.855598e+00	1.137740e-01	1.137740e-01
1.200000e-01	1.300000e-01	1.820719e+00	1.126996e-01	1.126996e-01
1.300000e-01	1.400000e-01	1.806767e+00	1.122670e-01	1.122670e-01
1.400000e-01	1.500000e-01	1.737007e+00	1.100784e-01	1.100784e-01
1.500000e-01	1.600000e-01	1.667248e+00	1.078453e-01	1.078453e-01
1.600000e-01	1.700000e-01	1.611441e+00	1.060250e-01	1.060250e-01
1.700000e-01	1.800000e-01	1.688176e+00	1.085200e-01	1.085200e-01
1.800000e-01	1.900000e-01	1.541681e+00	1.037047e-01	1.037047e-01
1.900000e-01	2.000000e-01	1.464946e+00	1.010909e-01	1.010909e-01
2.000000e-01	2.100000e-01	1.430066e+00	9.988016e-02	9.988016e-02
2.100000e-01	2.200000e-01	1.381235e+00	9.816008e-02	9.816008e-02
2.200000e-01	2.300000e-01	1.325427e+00	9.615660e-02	9.615660e-02
2.300000e-01	2.400000e-01	1.067318e+00	8.628753e-02	8.628753e-02
2.400000e-01	2.500000e-01	1.464946e+00	1.010909e-01	1.010909e-01
2.500000e-01	2.600000e-01	1.178933e+00	9.068713e-02	9.068713e-02
2.600000e-01	2.700000e-01	1.178933e+00	9.068713e-02	9.068713e-02
2.700000e-01	2.800000e-01	1.109173e+00	8.796317e-02	8.796317e-02
2.800000e-01	2.900000e-01	1.297524e+00	9.513904e-02	9.513904e-02
2.900000e-01	3.000000e-01	1.213812e+00	9.201888e-02	9.201888e-02
3.000000e-01	3.100000e-01	1.304499e+00	9.539445e-02	9.539445e-02
3.100000e-01	3.200000e-01	1.109173e+00	8.796317e-02	8.796317e-02
3.200000e-01	3.300000e-01	1.137077e+00	8.906275e-02	8.906275e-02
3.300000e-01	3.400000e-01	1.095221e+00	8.740819e-02	8.740819e-02
3.400000e-01	3.500000e-01	1.067318e+00	8.628753e-02	8.628753e-02
3.500000e-01	3.600000e-01	1.151029e+00	8.960748e-02	8.960748e-02
3.600000e-01	3.700000e-01	1.060342e+00	8.600508e-02	8.600508e-02
3.700000e-01	3.800000e-01	1.025462e+00	8.457869e-02	8.457869e-02
3.800000e-01	3.900000e-01	1.046390e+00	8.543738e-02	8.543738e-02
3.900000e-01	4.000000e-01	9.487269e-01	8.135266e-02	8.135266e-02
4.000000e-01	4.100000e-01	1.060342e+00	8.600508e-02	8.600508e-02
4.100000e-01	4.200000e-01	8.301360e-01	7.609844e-02	7.609844e-02
4.200000e-01	4.300000e-01	1.025462e+00	8.457869e-02	8.457869e-02
4.300000e-01	4.400000e-01	8.859435e-01	7.861477e-02	7.861477e-02
4.400000e-01	4.500000e-01	9.975584e-01	8.342003e-02	8.342003e-02
4.500000e-01	4.600000e-01	9.417510e-01	8.105302e-02	8.105302e-02
4.600000e-01	4.700000e-01	9.626788e-01	8.194866e-02	8.194866e-02
4.700000e-01	4.800000e-01	8.580398e-01	7.736684e-02	7.736684e-02
4.800000e-01	4.900000e-01	8.719916e-01	7.799330e-02	7.799330e-02
4.900000e-01	5.000000e-01	9.277991e-01	8.045038e-02	8.045038e-02
5.000000e-01	5.100000e-01	8.371120e-01	7.641752e-02	7.641752e-02
5.100000e-01	5.200000e-01	9.417510e-01	8.105302e-02	8.105302e-02
5.200000e-01	5.300000e-01	7.952564e-01	7.448258e-02	7.448258e-02
5.300000e-01	5.400000e-01	8.789676e-01	7.830466e-02	7.830466e-02
5.400000e-01	5.500000e-01	8.580398e-01	7.736684e-02	7.736684e-02
5.500000e-01	5.600000e-01	8.998954e-01	7.923137e-02	7.923137e-02
5.600000e-01	5.700000e-01	8.371120e-01	7.641752e-02	7.641752e-02
5.700000e-01	5.800000e-01	7.743286e-01	7.349601e-02	7.349601e-02
5.800000e-01	5.900000e-01	8.092082e-01	7.513310e-02	7.513310e-02
5.900000e-01	6.000000e-01	7.952564e-01	7.448258e-02	7.448258e-02
