# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5
XLabel=$e_\alpha$
RatioPlotReference=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5
YLabel=$1/\sigma \text{d}\sigma/\text{d}e_{\alpha}$
DrawOnly=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as012285-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5 //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as015015-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5
RatioPlot=1
Title=Angularity, $\alpha$ = 0.5 $z_{cut}$ = 0.05 $\beta$ = 0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5
LineColor=red
LineStyle=solid
NormalizeToSum=1
Path=//home/frederic/Work/Software/LesHouches2017/lh2017-alphas/rivet-analysis/quark-as013650-truth.yoda/MC_LHJSS_Zjet/Angularity_zcut_0.05_beta_0_alpha_0.5
ScaledBy=2.55102040816326554e-04
Title=quark-as013650-truth
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.275510e-01	5.704255e-02	5.704255e-02
1.000000e-02	2.000000e-02	4.591837e-01	1.082306e-01	1.082306e-01
2.000000e-02	3.000000e-02	1.198980e+00	1.748891e-01	1.748891e-01
3.000000e-02	4.000000e-02	2.704082e+00	2.626436e-01	2.626436e-01
4.000000e-02	5.000000e-02	5.535714e+00	3.757888e-01	3.757888e-01
5.000000e-02	6.000000e-02	6.760204e+00	4.152761e-01	4.152761e-01
6.000000e-02	7.000000e-02	6.862245e+00	4.183985e-01	4.183985e-01
7.000000e-02	8.000000e-02	6.173469e+00	3.968457e-01	3.968457e-01
8.000000e-02	9.000000e-02	5.637755e+00	3.792365e-01	3.792365e-01
9.000000e-02	1.000000e-01	5.178571e+00	3.634644e-01	3.634644e-01
1.000000e-01	1.100000e-01	4.515306e+00	3.393912e-01	3.393912e-01
1.100000e-01	1.200000e-01	3.877551e+00	3.145109e-01	3.145109e-01
1.200000e-01	1.300000e-01	3.341837e+00	2.919776e-01	2.919776e-01
1.300000e-01	1.400000e-01	3.673469e+00	3.061224e-01	3.061224e-01
1.400000e-01	1.500000e-01	3.469388e+00	2.974975e-01	2.974975e-01
1.500000e-01	1.600000e-01	2.908163e+00	2.723744e-01	2.723744e-01
1.600000e-01	1.700000e-01	2.755102e+00	2.651098e-01	2.651098e-01
1.700000e-01	1.800000e-01	2.831633e+00	2.687667e-01	2.687667e-01
1.800000e-01	1.900000e-01	2.525510e+00	2.538233e-01	2.538233e-01
1.900000e-01	2.000000e-01	2.117347e+00	2.324090e-01	2.324090e-01
2.000000e-01	2.100000e-01	2.295918e+00	2.420111e-01	2.420111e-01
2.100000e-01	2.200000e-01	2.040816e+00	2.281702e-01	2.281702e-01
2.200000e-01	2.300000e-01	1.581633e+00	2.008675e-01	2.008675e-01
2.300000e-01	2.400000e-01	1.785714e+00	2.134337e-01	2.134337e-01
2.400000e-01	2.500000e-01	1.275510e+00	1.803844e-01	1.803844e-01
2.500000e-01	2.600000e-01	1.658163e+00	2.056698e-01	2.056698e-01
2.600000e-01	2.700000e-01	1.250000e+00	1.785714e-01	1.785714e-01
2.700000e-01	2.800000e-01	1.122449e+00	1.692155e-01	1.692155e-01
2.800000e-01	2.900000e-01	1.198980e+00	1.748891e-01	1.748891e-01
2.900000e-01	3.000000e-01	7.908163e-01	1.420348e-01	1.420348e-01
3.000000e-01	3.100000e-01	1.198980e+00	1.748891e-01	1.748891e-01
3.100000e-01	3.200000e-01	1.071429e+00	1.653250e-01	1.653250e-01
3.200000e-01	3.300000e-01	9.438776e-01	1.551725e-01	1.551725e-01
3.300000e-01	3.400000e-01	8.673469e-01	1.487488e-01	1.487488e-01
3.400000e-01	3.500000e-01	7.653061e-01	1.397252e-01	1.397252e-01
3.500000e-01	3.600000e-01	5.612245e-01	1.196535e-01	1.196535e-01
3.600000e-01	3.700000e-01	5.612245e-01	1.196535e-01	1.196535e-01
3.700000e-01	3.800000e-01	5.357143e-01	1.169024e-01	1.169024e-01
3.800000e-01	3.900000e-01	6.632653e-01	1.300770e-01	1.300770e-01
3.900000e-01	4.000000e-01	4.081633e-01	1.020408e-01	1.020408e-01
4.000000e-01	4.100000e-01	4.591837e-01	1.082306e-01	1.082306e-01
4.100000e-01	4.200000e-01	3.826531e-01	9.880060e-02	9.880060e-02
4.200000e-01	4.300000e-01	3.571429e-01	9.545044e-02	9.545044e-02
4.300000e-01	4.400000e-01	2.806122e-01	8.460778e-02	8.460778e-02
4.400000e-01	4.500000e-01	5.102041e-01	1.140851e-01	1.140851e-01
4.500000e-01	4.600000e-01	2.806122e-01	8.460778e-02	8.460778e-02
4.600000e-01	4.700000e-01	3.061224e-01	8.836994e-02	8.836994e-02
4.700000e-01	4.800000e-01	2.295918e-01	7.653061e-02	7.653061e-02
4.800000e-01	4.900000e-01	2.551020e-01	8.067035e-02	8.067035e-02
4.900000e-01	5.000000e-01	2.551020e-01	8.067035e-02	8.067035e-02
5.000000e-01	5.100000e-01	5.102041e-02	3.607688e-02	3.607688e-02
5.100000e-01	5.200000e-01	2.551020e-02	2.551020e-02	2.551020e-02
5.200000e-01	5.300000e-01	2.295918e-01	7.653061e-02	7.653061e-02
5.300000e-01	5.400000e-01	2.040816e-01	7.215375e-02	7.215375e-02
5.400000e-01	5.500000e-01	2.295918e-01	7.653061e-02	7.653061e-02
5.500000e-01	5.600000e-01	1.020408e-01	5.102041e-02	5.102041e-02
5.600000e-01	5.700000e-01	7.653061e-02	4.418497e-02	4.418497e-02
5.700000e-01	5.800000e-01	7.653061e-02	4.418497e-02	4.418497e-02
